order_id	quantity	item_name	choice_description	item_price
1	1	Chips and Fresh Tomato Salsa	NULL	$2.39 
1	1	Izze	[Strawberry]	$3.39 
1	1	Nantucket Nectar	[Apple]	$3.39 
1	1	Chips and Tomatillo-Green Chili Salsa	NULL	$2.39 
2	2	Chicken Bowl	[Tomatillo-Yellow Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream]]	$16.98 
3	1	Chicken Bowl	[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 
3	1	Side of Chips	NULL	$1.69 
4	1	Steak Burrito	[Tomatillo Yellow Chili Salsa, [Fajita Vegetables(Roasted Sweet Pepper, Cabbage), Black Beans, Green Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 
4	1	Steak Soft Tacos	[Tomatillo Green Chili Salsa, [Green Beans, Cheese, Sour Cream, Lettuce]]	$9.25 
5	1	Steak Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Green Beans, Cheese, Sour Cream, Lettuce]]	$9.25 
5	1	Chips and Guacamole	NULL	$4.45 
6	1	Chicken Crispy Tacos	[Saute Chili Seafood Salsa, [Fajita Vegetables(Roasted Sweet Pepper, Cabbage), Rice, Black Beans, Cheese, Sour Cream]]	$8.75 
6	1	Chicken Soft Tacos	[Saute Chili Seafood Salsa, [Rice, Black Beans, Cheese, Sour Cream]]	$8.75 
7	1	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables(Roasted Sweet Pepper, Cabbage), Rice, Cheese, Sour Cream, Guacamole]]	$11.25 
7	1	Chips and Guacamole	NULL	$4.45 
8	1	Chips and Tomatillo-Green Chili Salsa	NULL	$2.39 
8	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Green Beans, Cheese, Sour Cream]]	$8.49 
9	1	Chicken Burrito	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.49 
9	2	Canned Soda	[Sprite]	$2.18 
10	1	Chicken Bowl	[Tomatillo Yellow Chili Salsa, [Fajita Vegetables(Roasted Sweet Pepper, Cabbage), Black Beans, Sour Cream, Cheese, Lettuce]]	$8.75 
10	1	Chips and Guacamole	NULL	$4.45 
11	1	Barbacoa Burrito	[[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Yellow Chili Salsa (Hot)], [Rice, Cheese, Sour Cream, Lettuce]]	$8.99 
11	1	Nantucket Nectar	[Pomegranate Cherry]	$3.39 
12	1	Chicken Burrito	[[Tomatillo-Green Chili Salsa (Medium), Tomatillo-Yellow Chili Salsa (Hot)], [Green Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 
12	1	Izze	[Grapefruit]	$3.39 
13	1	Chips and Fresh Tomato Salsa	NULL	$2.39 
13	1	Chicken Bowl	[Saute Chili Seafood Salsa (Medium), [Green Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.49 
14	1	Brakens Burrito	[[Tomatillo-Green Chili Salsa (Medium), Saute Chili Seafood Salsa (Medium)], [Black Beans, Rice, Sour Cream, Lettuce]]	$8.99 
14	1	Canned Soda	[Dr. Pepper]	$1.09 
15	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Green Beans, Rice, Cheese, Sour Cream]]	$8.49 
15	1	Chips and Tomatillo-Green Chili Salsa	NULL	$2.39 
16	1	Steak Burrito	[[Saute Chili Seafood Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Sour Cream]]	$8.99 
16	1	Side of Chips	NULL	$1.69 
17	1	Brakens Bowl	[Tomatillo-Yellow Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.99 
17	1	Bottled Water	NULL	$1.09 
18	1	Chicken Soft Tacos	[Saute Chili Seafood Salsa, Rice]	$8.75 
18	1	Chicken Soft Tacos	[Saute Chili Seafood Salsa, [Cheese, Lettuce]]	$8.75 
18	1	Chips and Guacamole	NULL	$4.45 
18	1	Chips and Tomatillo Green Chili Salsa	NULL	$2.95 
19	1	Barbacoa Bowl	[Saute Chili Seafood Salsa, [Fajita Vegetables(Roasted Sweet Pepper, Cabbage), Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 
19	1	Chips	NULL	$2.15 
20	1	Chips and Guacamole	NULL	$4.45 
20	1	Chicken Bowl	[Saute Chili Seafood Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 
20	1	Steak Burrito	[Fresh Tomato Salsa, [Rice, Green Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 
20	1	Chicken Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables(Roasted Sweet Pepper, Cabbage), Green Beans, Lettuce]]	$8.75 
