Number,FavoriteLunchroom,ID,RealNumber
1,定食8,203,50101
2,福勝亭,204,50102
3,銀座杏子豬排,205,50103
4,,206,50104
5,,207,50105
6,銀座杏子豬排,208,50106
7,Chipotle,209,50107
8,小菜館韓式拌飯,810,50108
9,MeatUp,211,50109
10,小菜館韓式拌飯,812,50110
11,銀座杏子豬排,213,50111
12,銀座杏子豬排,214,50112
13,,215,50113
14,,216,50114
15,銀座杏子豬排,217,50115
16,,218,50116
17,福勝亭,219,50117
18,Chipotle,220,50118
19,定食8,221,50119
20,,222,50120
21,,223,50121
22,爭鮮迴轉壽司,224,50122
23,,225,50123
24,爭鮮迴轉壽司,226,50124
25,MeatUp,227,50125
26,,228,50126
27,,229,50127
28,福勝亭,230,50128
29,銀座杏子豬排,231,50201
30,福勝亭,232,50202
31,MeatUp,233,50203
32,Chipotle,234,50204
33,Chipotle,235,50205
34,Chipotle,236,50206
35,Chipotle,237,50207
36,銀座杏子豬排,238,50208
37,定食8,239,50209
38,,240,50210
39,,241,50211
40,焦糖冷滷味,242,50212
41,,243,50213
42,焦糖冷滷味,244,50214
43,,245,50215
44,,246,50216
45,定食8,247,50217
46,,248,50218
47,定食8,249,50219
48,福勝亭,250,50220
49,爭鮮迴轉壽司,251,50221
50,銀座杏子豬排,252,50222
51,,253,50223
52,焦糖冷滷味,254,50224
53,爭鮮迴轉壽司,255,50225
54,焦糖冷滷味,256,50226
55,Chipotle,257,50301
56,,258,50302
57,小菜館韓式拌飯,259,50303
58,,260,50304
59,,261,50305
60,福勝亭,262,50306
61,銀座杏子豬排,263,50307
62,定食8,264,50308
63,MeatUp,265,50309
64,定食8,266,50310
65,銀座杏子豬排,267,50311
66,小菜館韓式拌飯,268,50312
67,銀座杏子豬排,269,50313
68,,270,50314
69,,271,50315
70,小菜館韓式拌飯,272,50316
71,,273,50317
72,爭鮮迴轉壽司,274,50318
73,,275,50319
74,,276,50320
75,爭鮮迴轉壽司,277,50321
76,銀座杏子豬排,278,50322
77,小菜館韓式拌飯,279,50323
78,定食8,280,50324
79,,281,50325
80,定食8,282,50326
81,爭鮮迴轉壽司,283,50327
82,,284,50401
83,小菜館韓式拌飯,285,50402
84,福勝亭,286,50403
85,爭鮮迴轉壽司,287,50404
86,銀座杏子豬排,288,50405
87,,289,50406
88,福勝亭,290,50407
89,,291,50408
90,銀座杏子豬排,292,50409
91,,293,50410
92,,294,50411
93,新鮮豆漿店,295,50412
94,小菜館韓式拌飯,296,50413
95,,297,50414
96,小菜館韓式拌飯,298,50415
97,爭鮮迴轉壽司,299,50416
98,銀座杏子豬排,300,50417
99,,301,50418
100,MeatUp,302,50419
101,,303,50420
102,福勝亭,304,50421
103,福勝亭,305,50422
104,福勝亭,306,50423
105,銀座杏子豬排,307,50424
106,,308,50425
107,,309,50426
108,,310,50427
109,,311,50428
110,,312,50501
111,定食8,313,50502
112,,314,50503
113,爭鮮迴轉壽司,315,50504
114,,316,50505
115,福勝亭,317,50506
116,,318,50507
117,,319,50508
118,福勝亭,320,50509
119,,321,50510
120,MeatUp,322,50511
121,MeatUp,323,50512
122,爭鮮迴轉壽司,324,50513
123,定食8,325,50514
124,爭鮮迴轉壽司,326,50515
125,,327,50516
126,,328,50517
127,小菜館韓式拌飯,329,50518
128,MeatUp,330,50519
129,,331,50520
130,,332,50521
131,新鮮豆漿店,333,50522
132,新鮮豆漿店,334,50523
