Yr Mo Dy RPT ROS KIL DUB CLA MGR MAL
36 1 1 16.4 11.6 17.2 14.0 10.6 12.0 8.0
36 1 2 6.4 12.6 19.0 3.2 11.4 18.6 4.0
36 1 3 9.4 19.2 10.0 0.6 17.2 2.4 15.8
36 1 4 5.2 13.0 2.0 5.2 0.6 1.6 2.4
36 1 5 15.6 3.2 5.8 17.0 19.8 16.8 13.4
36 1 6 1.2 11.4 6.4 11.8 6.6 16.6 11.0
36 1 7 13.2 13.4 11.0 15.0 19.2 17.4 15.2
36 1 8 2.0 10.4 15.0 5.2 10.2 18.2 18.8
36 1 9 15.6 13.0 8.0 7.0 13.8 3.0 0.6
36 1 10 11.2 0.4 14.6 1.8 16.2 18.8 5.6
36 1 11 16.2 11.4 0.6 15.4 13.0 14.0 16.8
36 1 12 17.8 16.4 4.8 19.6 1.0 19.8 18.8
36 1 13 10.2 6.4 4.0 14.8 19.6 4.8 15.2
36 1 14 7.8 4.2 7.4 17.6 12.0 4.4 11.0
36 1 15 2.0 8.2 16.2 7.4 4.8 0.4 3.6
36 1 16 6.8 4.0 17.4 10.0 11.2 3.4 8.2
36 1 17 10.2 17.0 7.4 3.8 12.6 14.2 6.6
36 1 18 16.8 7.2 3.0 9.2 6.6 13.0 17.4
36 1 19 4.2 3.0 18.2 3.0 19.8 12.6 15.8
36 1 20 1.4 11.0 15.8 12.8 8.0 15.4 0.4
36 1 21 2.6 20.0 16.8 13.4 4.6 7.2 19.8
36 1 22 7.2 7.4 10.8 7.2 7.8 9.4 19.6
36 1 23 9.4 8.2 9.8 19.2 19.0 15.8 4.8
36 1 24 11.0 12.4 6.0 5.2 17.8 3.6 11.0
36 1 25 11.0 15.8 8.0 9.6 12.4 0.0 15.8
36 1 26 8.8 13.8 3.0 2.2 19.0 16.6 1.0
36 1 27 15.6 16.8 18.8 10.6 10.8 6.8 4.2
36 1 28 11.2 6.6 4.4 16.6 17.6 14.6 10.8
36 1 29 3.0 13.4 3.2 19.4 11.6 11.6 3.6
36 1 30 15.6 6.2 9.0 12.0 18.6 17.0 7.2
36 1 31 5.8 12.4 13.4 12.6 15.6 3.8 14.4
36 2 1 13.8 2.4 9.2 1.8 10.2 11.2 6.0
36 2 2 14.2 10.8 3.0 12.0 4.0 12.6 16.4
36 2 3 1.6 6.8 9.8 3.2 0.4 8.6 17.6
36 2 4 2.4 19.2 6.8 10.2 12.6 13.6 0.0
36 2 5 19.0 13.6 19.6 0.0 16.4 3.8 17.0
36 2 6 1.0 9.8 19.6 17.0 12.2 7.2 7.6
36 2 7 20.0 3.0 14.2 16.6 19.8 6.0 11.4
36 2 8 11.0 12.8 10.0 3.2 8.8 13.4 19.0
36 2 9 15.8 1.0 11.8 13.2 16.6 12.4 10.6
36 2 10 3.4 11.0 6.4 12.4 12.2 10.8 13.8
36 2 11 7.2 7.2 2.8 2.4 5.0 6.8 8.4
36 2 12 5.8 4.4 1.2 11.4 15.8 13.6 9.8
36 2 13 18.0 18.6 16.0 11.2 4.6 9.0 5.0
36 2 14 20.0 2.2 2.4 14.4 19.8 1.8 1.0
36 2 15 17.4 10.8 16.2 11.8 17.6 11.4 0.2
36 2 16 2.6 7.4 9.8 20.0 14.8 4.0 3.0
36 2 17 5.2 9.2 7.8 10.4 18.4 17.2 10.6
36 2 18 4.2 15.2 13.0 12.0 20.0 5.0 9.2
36 2 19 5.6 0.2 1.2 7.6 2.6 3.2 13.6
36 2 20 5.0 8.6 0.4 19.6 11.8 16.4 12.8
36 2 21 10.8 0.8 18.2 18.0 15.8 16.4 17.4
36 2 22 18.8 11.8 4.0 0.8 3.4 3.8 2.4
36 2 23 1.4 9.2 1.0 3.8 12.8 20.0 0.8
36 2 24 5.0 0.6 15.0 15.2 3.4 19.2 5.0
36 2 25 10.2 8.2 5.0 8.4 14.0 12.2 5.0
36 2 26 8.8 8.6 15.0 19.2 18.2 5.6 5.0
36 2 27 14.6 2.4 15.6 4.2 8.6 0.8 10.0
36 2 28 9.2 0.8 19.0 6.2 3.4 13.8 11.8
36 2 29 6.6 2.8 4.6 4.4 3.4 13.8 12.4
36 3 1 2.0 9.8 10.4 1.8 1.2 2.0 17.8
36 3 2 10.6 17.2 16.6 9.0 1.6 16.2 16.0
36 3 3 17.8 3.4 4.6 9.4 7.4 2.8 1.8
36 3 4 17.2 19.6 7.2 1.6 3.0 14.2 15.2
36 3 5 13.6 19.6 0.0 4.2 9.0 11.2 14.8
36 3 6 5.4 5.0 13.4 4.8 8.0 17.6 15.4
36 3 7 0.2 0.6 3.8 8.0 14.2 5.0 3.6
36 3 8 20.0 19.8 3.8 9.8 13.0 3.8 0.8
36 3 9 4.2 10.6 5.0 18.0 19.8 12.4 2.4
36 3 10 7.0 5.6 19.6 12.0 0.4 17.8 2.4
36 3 11 6.2 18.0 17.0 10.2 15.0 0.6 7.2
36 3 12 10.6 18.4 19.4 6.6 8.8 18.8 0.2
36 3 13 15.4 0.2 9.8 1.0 0.6 4.4 4.0
36 3 14 13.0 5.2 12.2 8.8 13.6 13.0 0.6
36 3 15 19.4 12.6 4.0 16.4 13.8 18.4 14.0
36 3 16 11.2 5.0 15.8 17.6 9.4 0.0 17.6
36 3 17 18.6 15.4 1.6 17.2 11.6 17.6 1.4
36 3 18 10.2 13.4 8.6 16.6 12.0 16.6 19.4
36 3 19 17.4 17.8 15.2 11.6 0.2 5.2 10.4
36 3 20 20.0 16.8 0.4 2.6 6.0 0.2 19.0
36 3 21 0.6 0.4 7.6 15.0 8.0 19.2 13.6
36 3 22 4.2 9.2 2.8 11.8 15.4 0.0 9.2
36 3 23 14.4 17.2 0.2 9.0 11.6 18.0 14.0
36 3 24 1.0 10.0 3.0 19.0 2.6 19.0 18.0
36 3 25 18.0 6.8 11.2 5.2 12.8 13.4 7.6
36 3 26 12.4 15.4 6.8 19.0 4.6 14.4 15.4
36 3 27 15.0 18.2 18.0 16.4 5.4 12.8 3.6
36 3 28 16.2 2.0 9.6 18.2 10.2 11.4 10.8
36 3 29 0.8 2.6 19.2 14.4 18.0 13.6 6.0
36 3 30 1.6 18.0 16.8 11.4 10.6 13.4 10.6
36 3 31 19.2 15.8 13.8 15.6 12.4 11.0 15.0
36 4 1 8.8 15.4 0.0 5.8 17.0 6.4 13.2
36 4 2 13.2 7.6 18.8 1.6 9.4 10.4 7.8
36 4 3 6.6 4.2 1.2 8.4 19.6 15.0 4.6
36 4 4 8.0 5.6 1.6 19.6 3.6 3.4 10.2
36 4 5 1.0 11.0 0.6 20.0 9.6 6.4 10.6
36 4 6 18.8 17.8 12.8 15.2 2.2 2.8 14.2
36 4 7 16.8 4.8 12.6 0.2 1.6 2.2 11.6
36 4 8 6.4 8.2 8.6 8.4 14.2 8.8 0.8
36 4 9 13.8 0.0 17.4 10.4 6.6 17.6 12.4
36 4 10 7.0 6.8 2.6 14.6 6.8 16.8 9.2
36 4 11 13.4 1.2 14.0 4.6 15.2 9.2 10.4
36 4 12 1.6 17.0 15.4 18.4 12.6 10.0 2.6
36 4 13 8.2 3.2 16.0 1.0 8.2 0.8 13.0
36 4 14 3.0 6.6 2.2 3.2 20.0 17.2 4.6
36 4 15 12.6 8.4 18.6 4.6 13.6 1.2 17.4
36 4 16 14.8 14.8 10.4 4.0 2.8 14.4 13.0
36 4 17 8.4 0.0 4.0 1.6 0.0 7.0 1.2
36 4 18 10.8 2.4 18.8 13.8 13.6 3.8 12.0
36 4 19 10.2 6.2 13.6 1.6 4.2 12.6 2.0
36 4 20 7.6 13.6 3.4 10.0 17.2 12.2 1.0
36 4 21 11.6 14.6 10.4 10.8 6.4 15.2 12.0
36 4 22 2.2 17.6 3.8 2.2 18.6 16.2 12.6
36 4 23 18.0 4.4 0.2 18.4 9.0 15.4 7.8
36 4 24 12.6 7.0 7.6 8.0 2.0 8.8 15.4
36 4 25 6.6 4.0 3.4 8.6 13.0 2.8 9.0
36 4 26 18.8 6.6 9.0 20.0 9.6 16.0 17.0
36 4 27 19.0 15.0 16.0 4.4 9.4 9.4 4.8
36 4 28 15.2 10.0 5.2 7.6 2.4 1.8 0.2
36 4 29 3.4 19.8 5.2 6.6 14.2 12.8 14.6
36 4 30 14.0 6.2 15.6 11.8 19.0 4.0 16.2
36 5 1 11.0 6.8 8.0 11.4 15.4 15.4 12.6
36 5 2 16.0 12.2 15.6 7.2 14.8 1.6 16.8
36 5 3 8.0 12.0 1.6 11.0 15.0 18.8 6.6
36 5 4 10.0 5.6 15.8 0.2 13.8 11.4 12.0
36 5 5 13.8 8.6 0.8 10.2 13.4 12.8 4.2
36 5 6 15.6 19.4 18.6 6.8 11.2 1.8 5.4
36 5 7 9.0 3.8 3.8 7.2 11.2 8.8 7.8
36 5 8 18.2 18.2 19.2 15.6 9.8 15.6 11.0
36 5 9 1.8 4.4 17.2 16.6 5.8 12.8 11.6
36 5 10 12.0 11.8 1.2 13.6 4.6 19.2 12.6
36 5 11 4.0 6.0 2.2 15.0 18.2 8.2 15.2
36 5 12 1.4 2.8 16.4 16.2 1.6 7.0 1.6
36 5 13 16.2 13.8 0.2 19.2 14.4 11.8 15.2
36 5 14 18.0 4.4 16.0 1.0 12.4 1.6 19.6
36 5 15 14.6 7.2 16.2 5.0 11.0 11.6 15.6
36 5 16 10.8 19.2 4.0 19.0 0.8 18.4 15.6
36 5 17 4.6 19.0 15.0 19.6 18.2 16.8 3.4
36 5 18 12.6 9.6 2.4 11.6 15.2 20.0 8.6
36 5 19 15.4 13.4 3.6 10.8 13.8 11.6 11.2
36 5 20 0.2 9.2 12.4 6.6 17.2 18.8 10.2
36 5 21 12.8 12.2 11.0 9.4 9.6 4.0 7.0
36 5 22 18.2 19.2 15.4 17.8 12.8 13.4 11.6
36 5 23 13.8 4.4 12.0 5.4 14.6 5.4 19.0
36 5 24 14.8 13.8 10.2 4.8 6.0 14.6 14.8
36 5 25 19.0 13.4 1.8 20.0 15.0 18.2 7.6
36 5 26 19.2 4.0 15.8 1.8 16.2 2.0 9.0
36 5 27 13.8 13.0 4.6 10.0 15.4 1.6 1.4
36 5 28 15.4 7.6 20.0 9.2 9.4 16.0 13.6
36 5 29 15.0 4.0 7.6 18.4 1.6 5.8 14.6
36 5 30 2.2 7.2 9.6 17.6 13.8 5.8 15.8
36 5 31 3.4 16.0 12.8 14.4 5.4 16.2 16.6
